comuna,-99.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,999.0
9105,11,15,185,785,741,401,1585,1172,1527,947,1680,296
9106,3,0,67,321,299,140,691,382,458,358,1052,93
9107,9,5,85,508,442,211,891,437,680,594,717,287
9108,25,18,372,1858,1381,792,2911,657,2168,1892,2264,705
9109,18,4,210,952,727,428,1854,752,1602,987,1274,273
9110,2,1,53,298,214,127,511,240,465,165,398,42
9111,13,13,185,1297,1190,582,2535,1058,2223,1029,2007,289
9112,40,39,653,3422,3009,2014,6596,1390,5171,2616,4900,1047
9113,3,4,49,203,248,107,486,274,374,336,612,80
9114,14,10,213,1330,991,529,2058,776,1567,1013,1391,290
9115,19,19,716,2103,1244,773,3544,578,2440,637,1866,399
9116,5,9,77,359,264,153,751,607,583,271,752,111
9117,1,3,76,407,325,156,887,694,619,398,1170,183
9118,1,3,60,353,202,102,507,542,338,228,448,128
9119,11,19,285,1212,1046,584,2089,983,1734,1282,1688,449
9120,57,20,1081,4581,2449,1419,5995,1204,5097,1743,3610,791
9121,6,2,57,392,367,194,823,506,674,307,728,61
9201,38,122,550,3075,2180,1230,4314,765,2589,1811,3246,1088
9202,10,4,153,809,676,315,1923,585,1170,1064,1709,261
9203,5,13,187,842,546,297,1546,486,1200,632,1050,204
9204,2,3,25,200,197,114,487,232,234,199,663,113
9205,5,96,69,374,244,146,603,174,380,186,612,94
9206,1,1,67,227,226,109,470,287,285,243,603,52
9207,1,0,42,220,187,106,468,334,246,286,592,42
9208,5,9,85,516,342,174,787,297,570,414,802,55
9209,5,4,88,337,316,158,568,255,624,444,769,160
9210,3,13,135,831,577,297,1565,474,737,539,1367,179
9211,17,86,342,1654,1197,611,2613,638,1424,1009,1938,640
10101,386,541,5629,20778,14694,8498,25594,2734,20808,10815,15868,5248
10102,21,14,258,1187,1326,640,2738,1499,2870,1546,2624,649
10103,2,3,58,138,119,60,288,177,219,93,248,80
10104,3,5,101,402,311,164,740,700,636,340,814,147
